date,platform,sku_id,product_name,sku_type,core_products,units_sold,gross_sales,avg_gross_per_unit,net_gross_sales,avg_net_gross_per_unit
2024-03-31,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,70,1479.26,21.13,1342.6,19.18
2024-04-01,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,163,3058.47,18.76,2760.13,16.93
2024-04-02,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,104,2238.88,21.53,1951.97,18.77
2024-04-03,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,177,3698.15,20.89,3330.25,18.81
2024-04-04,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,157,3118.44,19.86,2886.5,18.39
2024-04-05,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,144,2938.53,20.41,2776.56,19.28
2024-04-06,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,101,2138.93,21.18,2018.99,19.99
2024-04-07,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,82,1839.08,22.43,1515.2,18.48
2024-04-08,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,69,1499.25,21.73,1269.82,18.4
2024-04-09,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,153,3298.35,21.56,2643.99,17.28
2024-04-09,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,5,0,0,0,0
2024-04-10,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,157,3298.35,21.01,3045.94,19.4
2024-04-10,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,6,0,0,0,0
2024-04-11,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,172,3538.23,20.57,3413.33,19.84
2024-04-12,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,138,2858.57,20.71,2648.84,19.19
2024-04-13,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,161,3418.29,21.23,3073.68,19.09
2024-04-14,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,173,3578.21,20.68,3358.47,19.41
2024-04-15,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,137,2798.6,20.43,2538.81,18.53
2024-04-15,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,2,0,0,0,0
2024-04-16,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,180,3798.1,21.1,3338.53,18.55
2024-04-16,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,4,0,0,0,0
2024-04-17,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,179,3598.2,20.1,3218.53,17.98
2024-04-17,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,5,0,0,0,0
2024-04-18,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,99,1939.03,19.59,1854.17,18.73
2024-04-19,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,110,2078.96,18.9,2019.08,18.36
2024-04-20,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,153,3158.42,20.64,2858.72,18.68
2024-04-21,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,148,2998.5,20.26,2813.78,19.01
2024-04-22,TikTok,1729444046947390234,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,186,3738.13,20.1,3376.32,18.15
2024-04-22,TikTok,1729462219517629210,Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb,core,Birria Bomb 2-Pack,7,0,0,0,0
